Filename,language,dur,lartype,family,area,norm.soe
47-gently,Tera,75.717,h,Afro-Asiatic,Africa,0.22497443575450324
52-Hausa,Tera,70.09100000000001,h,Afro-Asiatic,Africa,0.24417205318103327
53-harmony,Tera,80.65899999999999,h,Afro-Asiatic,Africa,0.2377284963950628
54-hallelujah,Tera,53.77199999999999,h,Afro-Asiatic,Africa,0.2996192404341983
to-divide,Thai,129.189,h,Tai-Kadai,Eurasia,0.26045919237684984
05-crime,Tongan,146.04600000000002,h,Austronesian,Papunesia,0.331065151630112
08-appear,Tongan,169.7,h,Austronesian,Papunesia,0.3474022794527376
08-over_there,Tongan,138.64999999999998,h,Austronesian,Papunesia,0.39812234657194595
11-her,Tongan,161.741,h,Austronesian,Papunesia,0.4270910758557942
14-vast,Tongan,99.291,h,Austronesian,Papunesia,0.35779185262788177
24-stray,Tongan,193.00300000000001,h,Austronesian,Papunesia,0.47640711732396845
30-enter,Tongan,117.151,h,Austronesian,Papunesia,0.2363667486200612
every,Turkish,99.65899999999999,h,Turkic,Eurasia,0.17783456209658935
19-high,Tyneside English,99.533,h,Indo-European,Eurasia,0.37450945175287986
31-bosk,Ukrainian,193.736,H,Indo-European,Eurasia,0.5753443353576474
25-itisgood,Umbuygamu,87.722,h,Pama-Nyungan,Australia,0.34573543061853845
56-to-help,Upper Saxon,70.82900000000001,h,Indo-European,Eurasia,0.13849350523901263
33-US-pine-cone,Upper Sorbian,100.64499999999998,h,Indo-European,Eurasia,0.6511004075061261
043-vegetable,Upper Xumi,218.587,h,Sino-Tibetan,Eurasia,0.4548799942769059
044-to_dare,Upper Xumi,17.312000000000012,H,Sino-Tibetan,Eurasia,0.4686250081922184
070-self-3P_SUBJ,Upper Xumi,47.065,H,Sino-Tibetan,Eurasia,0.4437190663230015
55a-man-person,Upper Xumi,271.67900000000003,h,Sino-Tibetan,Eurasia,0.4597460894630774
56a-to_cut-to_slice-meat,Upper Xumi,226.721,h,Sino-Tibetan,Eurasia,0.4393068225607406
57a-to_blow,Upper Xumi,194.72700000000003,h,Sino-Tibetan,Eurasia,0.42036328837156
01-she_wants,Urarina,93.61,h,Urarina,South America,0.8075330386184217
10-hole,Urarina,76.642,h,Urarina,South America,0.28876775556436446
29-night,Urarina,90.35000000000001,h,Urarina,South America,0.17979703075231096
32-basketlike_quiver_for_storing_darts,Urarina,70.33600000000001,h,Urarina,South America,0.2246283608845499
33-type_of_drink,Urarina,79.144,h,Urarina,South America,0.45014365365203735
03-heat,Weert Dutch,99.054,h,Indo-European,Eurasia,0.46581588518058853
07-hi,Weert Dutch,49.285999999999994,h,Indo-European,Eurasia,0.37305502018164555
27-glove,Weert Dutch,109.28200000000001,h,Indo-European,Eurasia,0.2672734619791475
22-to_walk,Xinzhai Hmu,149.005,h,Hmong-Mien,Eurasia,0.3342810988449343
11-handsome,Yine,194.178,h,Arawakan,South America,0.3399253924422129
19-rope,Yine,138.03799999999998,h,Arawakan,South America,0.28838392424950005
41-capinuri-a-tree,Yine,196.483,h,Arawakan,South America,0.3660888935908217
01-hoot,Zurich German,139.26199999999997,h,Indo-European,Eurasia,0.5826266799669134
